Src   Dst   Srvport  Utilized (ns)   Utilization
4     34    NO       16              0.00%
4     35    NO       16              0.00%
4     38    NO       16              0.00%
4     43    NO       16              0.00%
5     21    NO       16              0.00%
5     26    NO       16              0.00%
5     28    NO       16              0.00%
5     30    NO       16              0.00%
5     33    NO       16              0.00%
5     37    NO       16              0.00%
5     39    NO       16              0.00%
5     41    NO       16              0.00%
6     30    NO       16              0.00%
6     32    NO       16              0.00%
6     33    NO       16              0.00%
6     35    NO       16              0.00%
6     42    NO       16              0.00%
7     18    NO       16              0.00%
7     25    NO       16              0.00%
7     26    NO       16              0.00%
7     27    NO       16              0.00%
7     34    NO       16              0.00%
7     36    NO       16              0.00%
7     37    NO       16              0.00%
7     45    NO       16              0.00%
8     18    NO       16              0.00%
8     19    NO       16              0.00%
8     20    NO       16              0.00%
8     24    NO       16              0.00%
8     27    NO       16              0.00%
8     29    NO       16              0.00%
8     34    NO       16              0.00%
8     38    NO       16              0.00%
8     40    NO       16              0.00%
8     43    NO       16              0.00%
9     22    NO       16              0.00%
9     27    NO       16              0.00%
9     30    NO       16              0.00%
9     35    NO       16              0.00%
9     38    NO       16              0.00%
9     40    NO       16              0.00%
10    21    NO       16              0.00%
10    23    NO       16              0.00%
10    24    NO       16              0.00%
10    26    NO       16              0.00%
10    27    NO       16              0.00%
10    31    NO       16              0.00%
10    32    NO       16              0.00%
10    36    NO       16              0.00%
10    46    NO       16              0.00%
10    47    NO       16              0.00%
11    19    NO       16              0.00%
11    29    NO       16              0.00%
11    31    NO       16              0.00%
11    32    NO       16              0.00%
11    35    NO       16              0.00%
11    36    NO       16              0.00%
11    47    NO       16              0.00%
12    20    NO       16              0.00%
12    22    NO       16              0.00%
12    24    NO       16              0.00%
12    28    NO       16              0.00%
12    31    NO       16              0.00%
12    33    NO       16              0.00%
12    36    NO       16              0.00%
12    37    NO       16              0.00%
12    38    NO       16              0.00%
12    44    NO       16              0.00%
13    20    NO       16              0.00%
13    24    NO       16              0.00%
13    27    NO       16              0.00%
13    30    NO       16              0.00%
13    34    NO       16              0.00%
13    40    NO       16              0.00%
13    41    NO       16              0.00%
13    42    NO       16              0.00%
13    44    NO       16              0.00%
13    45    NO       16              0.00%
14    18    NO       16              0.00%
14    27    NO       16              0.00%
14    29    NO       16              0.00%
14    30    NO       16              0.00%
14    33    NO       16              0.00%
14    35    NO       16              0.00%
14    38    NO       16              0.00%
14    43    NO       16              0.00%
15    24    NO       16              0.00%
15    29    NO       16              0.00%
15    31    NO       16              0.00%
15    33    NO       16              0.00%
15    34    NO       16              0.00%
15    35    NO       16              0.00%
15    36    NO       16              0.00%
15    38    NO       16              0.00%
15    44    NO       16              0.00%
15    47    NO       16              0.00%
16    56    NO       16              0.00%
16    64    NO       16              0.00%
16    68    NO       16              0.00%
16    72    NO       16              0.00%
16    80    NO       16              0.00%
16    84    NO       16              0.00%
16    112   NO       16              0.00%
16    116   NO       16              0.00%
16    120   NO       16              0.00%
17    56    NO       16              0.00%
17    64    NO       16              0.00%
17    68    NO       16              0.00%
17    72    NO       16              0.00%
17    80    NO       16              0.00%
17    84    NO       16              0.00%
17    112   NO       16              0.00%
17    116   NO       16              0.00%
17    120   NO       16              0.00%
18    61    NO       16              0.00%
18    65    NO       16              0.00%
18    81    NO       16              0.00%
18    93    NO       16              0.00%
18    101   NO       16              0.00%
18    113   NO       16              0.00%
18    125   NO       16              0.00%
19    61    NO       16              0.00%
19    65    NO       16              0.00%
19    81    NO       16              0.00%
19    93    NO       16              0.00%
19    101   NO       16              0.00%
19    113   NO       16              0.00%
19    125   NO       16              0.00%
20    66    NO       16              0.00%
20    70    NO       16              0.00%
20    74    NO       16              0.00%
20    110   NO       16              0.00%
20    118   NO       16              0.00%
21    7     NO       16              0.00%
21    66    NO       16              0.00%
21    70    NO       16              0.00%
21    74    NO       16              0.00%
21    110   NO       16              0.00%
21    118   NO       16              0.00%
22    75    NO       16              0.00%
22    87    NO       16              0.00%
22    91    NO       16              0.00%
22    95    NO       16              0.00%
22    99    NO       16              0.00%
22    103   NO       16              0.00%
22    107   NO       16              0.00%
22    111   NO       16              0.00%
22    115   NO       16              0.00%
22    119   NO       16              0.00%
22    123   NO       16              0.00%
22    127   NO       16              0.00%
23    75    NO       16              0.00%
23    87    NO       16              0.00%
23    91    NO       16              0.00%
23    95    NO       16              0.00%
23    99    NO       16              0.00%
23    103   NO       16              0.00%
23    107   NO       16              0.00%
23    111   NO       16              0.00%
23    115   NO       16              0.00%
23    119   NO       16              0.00%
23    123   NO       16              0.00%
23    127   NO       16              0.00%
24    4     NO       16              0.00%
24    128   NO       16              0.00%
24    132   NO       16              0.00%
24    140   NO       16              0.00%
24    148   NO       16              0.00%
24    156   NO       16              0.00%
24    168   NO       16              0.00%
24    192   NO       16              0.00%
25    1     NO       16              0.00%
25    2     NO       16              0.00%
25    6     NO       16              0.00%
25    8     NO       16              0.00%
25    11    NO       16              0.00%
25    128   NO       16              0.00%
25    132   NO       16              0.00%
25    140   NO       16              0.00%
25    148   NO       16              0.00%
25    156   NO       16              0.00%
25    168   NO       16              0.00%
25    192   NO       16              0.00%
26    10    NO       16              0.00%
26    129   NO       16              0.00%
26    133   NO       16              0.00%
26    137   NO       16              0.00%
26    145   NO       16              0.00%
26    157   NO       16              0.00%
26    165   NO       16              0.00%
26    173   NO       16              0.00%
26    177   NO       16              0.00%
26    185   NO       16              0.00%
26    193   NO       16              0.00%
27    3     NO       16              0.00%
27    13    NO       16              0.00%
27    129   NO       16              0.00%
27    133   NO       16              0.00%
27    137   NO       16              0.00%
27    145   NO       16              0.00%
27    157   NO       16              0.00%
27    165   NO       16              0.00%
27    173   NO       16              0.00%
27    177   NO       16              0.00%
27    185   NO       16              0.00%
27    193   NO       16              0.00%
28    9     NO       16              0.00%
28    142   NO       16              0.00%
28    146   NO       16              0.00%
28    150   NO       16              0.00%
28    154   NO       16              0.00%
28    170   NO       16              0.00%
28    198   NO       16              0.00%
28    202   NO       16              0.00%
29    0     NO       16              0.00%
29    3     NO       16              0.00%
29    7     NO       16              0.00%
29    142   NO       16              0.00%
29    146   NO       16              0.00%
29    150   NO       16              0.00%
29    154   NO       16              0.00%
29    170   NO       16              0.00%
29    198   NO       16              0.00%
29    202   NO       16              0.00%
30    5     NO       16              0.00%
30    11    NO       16              0.00%
30    135   NO       16              0.00%
30    147   NO       16              0.00%
30    163   NO       16              0.00%
30    183   NO       16              0.00%
30    195   NO       16              0.00%
30    199   NO       16              0.00%
30    207   NO       16              0.00%
31    7     NO       16              0.00%
31    9     NO       16              0.00%
31    135   NO       16              0.00%
31    147   NO       16              0.00%
31    163   NO       16              0.00%
31    183   NO       16              0.00%
31    195   NO       16              0.00%
31    199   NO       16              0.00%
31    207   NO       16              0.00%
32    1     NO       16              0.00%
32    3     NO       16              0.00%
32    6     NO       16              0.00%
32    10    NO       16              0.00%
32    11    NO       16              0.00%
32    208   NO       16              0.00%
32    220   NO       16              0.00%
32    232   NO       16              0.00%
32    240   NO       16              0.00%
32    244   NO       16              0.00%
32    256   NO       16              0.00%
32    272   NO       16              0.00%
33    3     NO       16              0.00%
33    5     NO       16              0.00%
33    9     NO       16              0.00%
33    13    NO       16              0.00%
33    208   NO       16              0.00%
33    220   NO       16              0.00%
33    232   NO       16              0.00%
33    240   NO       16              0.00%
33    244   NO       16              0.00%
33    256   NO       16              0.00%
33    272   NO       16              0.00%
34    2     NO       16              0.00%
34    6     NO       16              0.00%
34    8     NO       16              0.00%
34    9     NO       16              0.00%
34    10    NO       16              0.00%
34    12    NO       16              0.00%
34    229   NO       16              0.00%
34    233   NO       16              0.00%
34    241   NO       16              0.00%
34    249   NO       16              0.00%
34    253   NO       16              0.00%
34    273   NO       16              0.00%
35    4     NO       16              0.00%
35    7     NO       16              0.00%
35    10    NO       16              0.00%
35    14    NO       16              0.00%
35    229   NO       16              0.00%
35    233   NO       16              0.00%
35    241   NO       16              0.00%
35    249   NO       16              0.00%
35    253   NO       16              0.00%
35    273   NO       16              0.00%
36    5     NO       16              0.00%
36    7     NO       16              0.00%
36    10    NO       16              0.00%
36    14    NO       16              0.00%
36    218   NO       16              0.00%
36    222   NO       16              0.00%
36    242   NO       16              0.00%
36    262   NO       16              0.00%
36    266   NO       16              0.00%
36    270   NO       16              0.00%
36    274   NO       16              0.00%
36    282   NO       16              0.00%
36    286   NO       16              0.00%
37    4     NO       16              0.00%
37    8     NO       16              0.00%
37    14    NO       16              0.00%
37    218   NO       16              0.00%
37    222   NO       16              0.00%
37    242   NO       16              0.00%
37    262   NO       16              0.00%
37    266   NO       16              0.00%
37    270   NO       16              0.00%
37    274   NO       16              0.00%
37    282   NO       16              0.00%
37    286   NO       16              0.00%
38    2     NO       16              0.00%
38    7     NO       16              0.00%
38    13    NO       16              0.00%
38    219   NO       16              0.00%
38    223   NO       16              0.00%
38    231   NO       16              0.00%
38    235   NO       16              0.00%
38    243   NO       16              0.00%
38    251   NO       16              0.00%
38    255   NO       16              0.00%
38    259   NO       16              0.00%
38    263   NO       16              0.00%
38    279   NO       16              0.00%
39    1     NO       16              0.00%
39    7     NO       16              0.00%
39    12    NO       16              0.00%
39    219   NO       16              0.00%
39    223   NO       16              0.00%
39    231   NO       16              0.00%
39    235   NO       16              0.00%
39    243   NO       16              0.00%
39    255   NO       16              0.00%
39    259   NO       16              0.00%
39    263   NO       16              0.00%
39    279   NO       16              0.00%
40    10    NO       16              0.00%
40    288   NO       16              0.00%
41    288   NO       16              0.00%
42    293   NO       16              0.00%
43    14    NO       16              0.00%
43    293   NO       16              0.00%
44    294   NO       16              0.00%
44    298   NO       16              0.00%
44    302   NO       16              0.00%
45    294   NO       16              0.00%
45    298   NO       16              0.00%
45    302   NO       16              0.00%
46    4     NO       16              0.00%
46    291   NO       16              0.00%
47    291   NO       16              0.00%
56    17    NO       16              0.00%
60    17    NO       16              0.00%
68    16    NO       16              0.00%
80    16    NO       16              0.00%
92    16    NO       16              0.00%
104   17    NO       16              0.00%
106   21    NO       16              0.00%
108   17    NO       16              0.00%
112   17    NO       16              0.00%
114   21    NO       16              0.00%
120   17    NO       16              0.00%
131   31    NO       16              0.00%
132   25    NO       16              0.00%
135   30    NO       16              0.00%
136   25    NO       16              0.00%
139   30    NO       16              0.00%
142   29    NO       16              0.00%
144   24    NO       16              0.00%
146   29    NO       16              0.00%
149   27    NO       16              0.00%
151   31    NO       16              0.00%
152   25    NO       16              0.00%
156   25    NO       16              0.00%
157   27    NO       16              0.00%
158   29    NO       16              0.00%
159   31    NO       16              0.00%
160   25    NO       16              0.00%
162   29    NO       16              0.00%
165   27    NO       16              0.00%
166   28    NO       16              0.00%
170   29    NO       16              0.00%
172   24    NO       16              0.00%
173   27    NO       16              0.00%
174   29    NO       16              0.00%
176   24    NO       16              0.00%
180   25    NO       16              0.00%
181   26    NO       16              0.00%
182   29    NO       16              0.00%
184   25    NO       16              0.00%
185   26    NO       16              0.00%
187   31    NO       16              0.00%
188   25    NO       16              0.00%
189   26    NO       16              0.00%
190   28    NO       16              0.00%
193   27    NO       16              0.00%
194   28    NO       16              0.00%
195   30    NO       16              0.00%
196   24    NO       16              0.00%
197   27    NO       16              0.00%
199   30    NO       16              0.00%
200   24    NO       16              0.00%
201   27    NO       16              0.00%
209   34    NO       16              0.00%
210   37    NO       16              0.00%
212   33    NO       16              0.00%
214   37    NO       16              0.00%
217   35    NO       16              0.00%
218   37    NO       16              0.00%
220   32    NO       16              0.00%
222   36    NO       16              0.00%
223   39    NO       16              0.00%
225   34    NO       16              0.00%
226   36    NO       16              0.00%
230   37    NO       16              0.00%
232   32    NO       16              0.00%
235   39    NO       16              0.00%
236   33    NO       16              0.00%
238   37    NO       16              0.00%
242   36    NO       16              0.00%
245   34    NO       16              0.00%
246   36    NO       16              0.00%
249   34    NO       16              0.00%
250   37    NO       16              0.00%
252   33    NO       16              0.00%
253   34    NO       16              0.00%
254   37    NO       16              0.00%
256   32    NO       16              0.00%
260   33    NO       16              0.00%
261   34    NO       16              0.00%
262   36    NO       16              0.00%
264   33    NO       16              0.00%
265   35    NO       16              0.00%
266   36    NO       16              0.00%
267   39    NO       16              0.00%
271   39    NO       16              0.00%
274   36    NO       16              0.00%
275   39    NO       16              0.00%
279   38    NO       16              0.00%
283   39    NO       16              0.00%
284   32    NO       16              0.00%
287   38    NO       16              0.00%
290   44    NO       16              0.00%
291   46    NO       16              0.00%
294   44    NO       16              0.00%
296   40    NO       16              0.00%
297   42    NO       16              0.00%
299   46    NO       16              0.00%
301   42    NO       16              0.00%
351   751   YES      16              0.00%
28    11    NO       12              0.00%
33    6     NO       12              0.00%
38    15    NO       12              0.00%
52    696   YES      12              0.00%
52    703   YES      12              0.00%
53    697   YES      12              0.00%
53    702   YES      12              0.00%
54    698   YES      12              0.00%
54    701   YES      12              0.00%
55    699   YES      12              0.00%
55    700   YES      12              0.00%
56    704   YES      12              0.00%
56    711   YES      12              0.00%
57    705   YES      12              0.00%
57    710   YES      12              0.00%
58    706   YES      12              0.00%
58    709   YES      12              0.00%
59    707   YES      12              0.00%
59    708   YES      12              0.00%
60    712   YES      12              0.00%
60    719   YES      12              0.00%
61    713   YES      12              0.00%
61    718   YES      12              0.00%
62    714   YES      12              0.00%
62    717   YES      12              0.00%
63    715   YES      12              0.00%
63    716   YES      12              0.00%
64    720   YES      12              0.00%
64    727   YES      12              0.00%
65    721   YES      12              0.00%
65    726   YES      12              0.00%
66    722   YES      12              0.00%
66    725   YES      12              0.00%
67    723   YES      12              0.00%
67    724   YES      12              0.00%
68    728   YES      12              0.00%
68    735   YES      12              0.00%
69    729   YES      12              0.00%
69    734   YES      12              0.00%
70    730   YES      12              0.00%
70    733   YES      12              0.00%
71    731   YES      12              0.00%
